backtest_date,model,series_index,series_name,window,base_date,retrained,forecast_start,forecast_end,mape,ape,actual_values,forecast_values,model_hyperparameters
20250322_1741,ExponentialSmoothing,66,series_00031,5,2019-03-01,True,2019-04-01,2019-06-01,0.340598,[0.197448 0.316673 0.507674],"[135.364501953125, 147.95562744140625, 190.05108642578125]","[108.6370277774757, 101.1020478688942, 93.5670679603127]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,243,series_00250,0,2018-10-01,True,2018-11-01,2019-01-01,1.262127,[0.379731 3.150042 0.256607],"[541.8925170898438, 214.5341339111328, 697.3199462890625]","[336.1188801034021, 890.3257448030289, 518.3830345514993]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,243,series_00250,1,2018-11-01,True,2018-12-01,2019-02-01,1.199085,[3.326911 0.170309 0.100034],"[214.5341339111328, 697.3199462890625, 606.7904663085938]","[928.2701466658235, 578.5601823285956, 546.090535633618]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,243,series_00250,2,2018-12-01,True,2019-01-01,2019-03-01,0.097069,[0.097983 0.013123 0.180103],"[697.3199462890625, 606.7904663085938, 663.8031005859375]","[628.9947716532964, 614.7530815060975, 544.25046162331]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,243,series_00250,3,2019-01-01,True,2019-02-01,2019-04-01,0.349903,[0.275376 0.427482 0.34685 ],"[606.7904663085938, 663.8031005859375, 566.6216430664062]","[439.69505985628894, 380.03904137760503, 370.08896219260185]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,243,series_00250,4,2019-02-01,True,2019-03-01,2019-05-01,0.335761,[0.312885 0.23167  0.462729],"[663.8031005859375, 566.6216430664062, 814.87353515625]","[456.10894224278337, 435.352383844771, 437.8077674539147]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,243,series_00250,5,2019-03-01,True,2019-04-01,2019-06-01,0.320022,[0.177881 0.425418 0.356768],"[566.6216430664062, 814.87353515625, 701.6156616210938]","[465.83024786794533, 468.21170892130493, 451.30162812970804]",{'season_length': 12}
20250322_1741,Prophet,13,series_00049,0,2018-10-01,True,2018-11-01,2019-01-01,0.275509,[0.001934 0.630298 0.194296],"[447.9205627441406, 330.6086730957031, 481.6119079589844]","[448.78676411074775, 538.9905418875201, 575.1874081044824]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,13,series_00049,1,2018-11-01,True,2018-12-01,2019-02-01,0.384369,[0.61158  0.17443  0.367097],"[330.6086730957031, 481.6119079589844, 369.89874267578125]","[532.8023598069644, 565.6192992688012, 505.6873294426349]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,13,series_00049,2,2018-12-01,True,2019-01-01,2019-03-01,0.290671,[0.175702 0.368786 0.327524],"[481.6119079589844, 369.89874267578125, 524.2074584960938]","[566.2323093783583, 506.31224433415076, 352.5169505093062]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,13,series_00049,3,2019-01-01,True,2019-02-01,2019-04-01,0.26433,[0.331439 0.349581 0.11197 ],"[369.89874267578125, 524.2074584960938, 615.3228759765625]","[492.49743631105156, 340.9543177695982, 546.4254174744533]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,13,series_00049,4,2019-02-01,True,2019-03-01,2019-05-01,0.19886,[0.351354 0.115539 0.129686],"[524.2074584960938, 615.3228759765625, 475.0140380859375]","[340.02524136906703, 544.2291039505728, 536.6169034673077]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,13,series_00049,5,2019-03-01,True,2019-04-01,2019-06-01,0.28854,[0.128394 0.109768 0.627458],"[615.3228759765625, 475.0140380859375, 498.5135803222656]","[536.3188454869078, 527.1555886870225, 811.309771829118]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,30,series_00132,0,2018-10-01,True,2018-11-01,2019-01-01,0.556007,[0.465656 0.851479 0.350887],"[339.1639404296875, 260.0031433105469, 335.3724365234375]","[497.0976110306892, 481.3902372745443, 453.0502542218345]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
20250322_1741,Prophet,30,series_00132,1,2018-11-01,True,2018-12-01,2019-02-01,0.452116,[0.814909 0.306698 0.234742],"[260.0031433105469, 335.3724365234375, 358.7554931640625]","[471.88196524279266, 438.2304082036842, 442.97042469667815]","{'seasonality_mode': 'additive', 'yearly_seasonality': True}"
